Transaction_ID,Items
1,Rice (5kg)
2,"Bananas (1kg), Canned Beans (400g), Toothpaste, Rice (5kg)"
3,"T-shirts, Rice (5kg), Toothpaste"
4,"T-shirts, Shampoo"
5,T-shirts
6,"Shampoo, Bread (Whole Wheat), Milk (1L), Canned Beans (400g), Eggs (Dozen)"
7,"Eggs (Dozen), Bananas (1kg), T-shirts"
8,"Canned Beans (400g), Shampoo, Bread (Whole Wheat)"
9,"Milk (1L), Diapers, Toothpaste, T-shirts"
10,"Toothpaste, Canned Beans (400g), Milk (1L), Shampoo, T-shirts"
11,"Canned Beans (400g), Bananas (1kg)"
12,Bread (Whole Wheat)
13,"Diapers, Milk (1L), Toothpaste"
14,"Shampoo, Eggs (Dozen), Canned Beans (400g)"
15,"Bread (Whole Wheat), Milk (1L), Diapers, Shampoo"
16,Canned Beans (400g)
17,"T-shirts, Rice (5kg), Toothpaste"
18,"Diapers, Bananas (1kg), Shampoo, Eggs (Dozen)"
19,"Canned Beans (400g), Toothpaste, Diapers, T-shirts, Bananas (1kg)"
20,"Milk (1L), Canned Beans (400g)"
