Transaction_ID,Items
1,"Bananas (1kg), Eggs (Dozen), Toothpaste"
2,"Milk (1L), Canned Beans (400g), Bread (Whole Wheat), T-shirts"
3,Canned Beans (400g)
4,"Diapers, Milk (1L), Toothpaste, Bread (Whole Wheat), Bananas (1kg)"
5,"Shampoo, Toothpaste"
6,Canned Beans (400g)
7,"Rice (5kg), Shampoo, Canned Beans (400g), Bananas (1kg)"
8,"Toothpaste, Rice (5kg)"
9,"Bananas (1kg), Eggs (Dozen)"
10,"Toothpaste, Shampoo, Diapers, Canned Beans (400g)"
11,"Toothpaste, Diapers, Eggs (Dozen), Milk (1L)"
12,Eggs (Dozen)
13,T-shirts
14,"Rice (5kg), Milk (1L), Diapers"
15,"Diapers, Shampoo, Canned Beans (400g), T-shirts, Milk (1L)"
16,Toothpaste
17,"T-shirts, Rice (5kg)"
18,"Bread (Whole Wheat), Toothpaste, Bananas (1kg), Canned Beans (400g)"
19,"T-shirts, Rice (5kg), Eggs (Dozen), Canned Beans (400g), Milk (1L)"
20,"Milk (1L), Diapers, Toothpaste, T-shirts, Rice (5kg)"
