Transaction_ID,Items
1,Milk (1L)
2,"T-shirts, Canned Beans (400g), Bread (Whole Wheat), Milk (1L)"
3,"Diapers, Canned Beans (400g), Toothpaste, Shampoo"
4,"Milk (1L), Diapers"
5,"Rice (5kg), Bananas (1kg), Bread (Whole Wheat), Diapers, T-shirts"
6,"Eggs (Dozen), Bananas (1kg), Bread (Whole Wheat), Shampoo"
7,"Eggs (Dozen), Canned Beans (400g)"
8,"Bread (Whole Wheat), Canned Beans (400g), Milk (1L), Rice (5kg)"
9,"Milk (1L), Canned Beans (400g), Eggs (Dozen), Toothpaste"
10,T-shirts
11,"Rice (5kg), Toothpaste, Bananas (1kg), Shampoo, Milk (1L)"
12,"Canned Beans (400g), Eggs (Dozen)"
13,"Bananas (1kg), Canned Beans (400g), Toothpaste, Diapers, Rice (5kg)"
14,"Milk (1L), Eggs (Dozen), T-shirts"
15,"Milk (1L), Toothpaste, Shampoo"
16,"Diapers, Shampoo"
17,"Rice (5kg), Canned Beans (400g), Shampoo"
18,"Bananas (1kg), Diapers, Canned Beans (400g), Rice (5kg)"
19,"Canned Beans (400g), Diapers, Eggs (Dozen)"
20,Eggs (Dozen)
